url,label
diaryofagameaddict.com,FALSE
espdesign.com.au,FALSE
iamagameaddict.com,FALSE
kalantzis.net,FALSE
slightlyoffcenter.net,FALSE
toddscarwash.com,FALSE
tubemoviez.com,FALSE
ipl.hk,FALSE
crackspider.us/toolbar/install.php?pack=exe,FALSE
pos-kupang.com/,FALSE
rupor.info,FALSE
svision-online.de/mgfi/administrator/components/com_babackup/classes/fx29id1.txt,FALSE
officeon.ch.ma/office.js?google_ad_format=728x90_as,FALSE
sn-gzzx.com,FALSE
sunlux.net/company/about.html,FALSE
outporn.com,FALSE
timothycopus.aimoo.com,FALSE
xindalawyer.com,FALSE
freeserials.spb.ru/key/68703.htm,FALSE
deletespyware-adware.com,FALSE
orbowlada.strefa.pl/text396.htm,FALSE
ruiyangcn.com,FALSE
zkic.com,FALSE
adserving.favorit-network.com/eas?camp=19320;cre=mu&grpid=1738&tag_id=618&nums=FGApbjFAAA,FALSE
cracks.vg/d1.php,FALSE
juicypussyclips.com,FALSE
nuptialimages.com,FALSE
andysgame.com,FALSE
bezproudoff.cz,FALSE
ceskarepublika.net,FALSE
hotspot.cz,FALSE
gmcjjh.org/DHL,FALSE
nerez-schodiste-zabradli.com,FALSE
nordiccountry.cz,FALSE
nowina.info,FALSE
obada-konstruktiwa.org,FALSE
otylkaaotesanek.cz,FALSE
pb-webdesign.net,FALSE
pension-helene.cz,FALSE
podzemi.myotis.info,FALSE
smrcek.com,FALSE
spekband.com,FALSE
m2132.ehgaugysd.net/zyso.cgi?18,FALSE
webcom-software.ws/links/?153646e8b0a88,FALSE
worldgymperu.com,FALSE
zgsysz.com,FALSE
oknarai.ru,FALSE
realinnovation.com/css/menu.js,FALSE
hardcorepornparty.com,FALSE
zous.szm.sk,FALSE
noveslovo.com,FALSE
dimsnetwork.com,FALSE
luckyblank.info,FALSE
luckyclean.info,FALSE
luckyclear.info,FALSE
luckyeffect.info,FALSE
luckyhalo.info,FALSE
luckypure.info,FALSE
luckyshine.info,FALSE
luckysuccess.info,FALSE
luckysure.info,FALSE
luckytidy.info,FALSE
nudebeachgalleries.net,FALSE
buffalogoesout.com,FALSE
achren.org,FALSE
associatesexports.com,FALSE
antalya.ru/links/,FALSE
conds.ru,FALSE
img001.com/business/qiji.exe,FALSE
unalbilgisayar.com,FALSE
soundcomputers.net,FALSE
t-sb.net,FALSE
hanulsms.com,FALSE
semengineers.com,FALSE
srslogisticts.com,FALSE
tendersource.com,FALSE
traff1.com/in.cgi?5,FALSE
web-olymp.ru,FALSE
oprahsearch.com/scripts/net19.exe,FALSE
oprahsearch.com/scripts/brez251.exe,FALSE
rl8vd.kikul.com/ci7ka5t2ue,FALSE
sbnc.hak.su/spread.txt,FALSE
somnoy.com,FALSE
incoctel.cl/8RHFBgK4.php?html=27,FALSE
incoctel.cl/8RHFBgK4.php?id=23694557,FALSE
westlifego.com/js/jquery-1.3.2.min.js,FALSE
westlifego.com,FALSE
nadegda-95.ru,FALSE
